2 #m
6 #n
#sample_index	sample_label	character_index	character_label	vaf_lb	vaf_mean	vaf_ub	x	y	mu
0	H_KA-452198-0814719	0	0	0.0	0.10513528546442208	0.25	1	1	1
0	H_KA-452198-0814719	1	1	0.0	0.03051652933173591	0.10493827160493827	1	1	1
0	H_KA-452198-0814719	2	2	0.0	0.15112131013419236	0.3333333333333333	1	1	1
0	H_KA-452198-0814719	3	3	0.026827944015444017	0.21506318282765755	0.48764260249554303	1	1	1
0	H_KA-452198-0814719	4	4	0.027395700065528755	0.12595118595117757	0.3333333333333333	1	1	1
0	H_KA-452198-0814719	5	5	0.0	0.05430062273385626	0.12210054753608725	1	1	1
1	H_KA-452198-0912806	0	0	0.0	0.10513528546442208	0.25	1	1	1
1	H_KA-452198-0912806	1	1	0.0	0.03051652933173591	0.10493827160493827	1	1	1
1	H_KA-452198-0912806	2	2	0.0	0.15112131013419236	0.3333333333333333	1	1	1
1	H_KA-452198-0912806	3	3	0.026827944015444017	0.21506318282765755	0.48764260249554303	1	1	1
1	H_KA-452198-0912806	4	4	0.027395700065528755	0.12595118595117757	0.3333333333333333	1	1	1
1	H_KA-452198-0912806	5	5	0.0	0.05430062273385626	0.12210054753608725	1	1	1
